pID;block;trial;citynumber.100.Reset.;In.1..Out.0..Reset.3.;time
tsp01;2; 5;  7;1;15,4764000
tsp01;2; 5;  0;1;16,0750500
tsp01;2; 5;  9;1;16,7417000
tsp01;2; 5;  6;1;17,4581700
tsp01;2; 5; 16;1;19,0578100
tsp01;2; 6;  3;1; 1,7639200
tsp01;2; 6; 11;1; 2,2279360
tsp01;2; 6;  1;1; 2,7779620
tsp01;2; 6; 10;1; 3,6292920
tsp01;2; 6;  6;1; 4,2613410
tsp01;2; 6;  9;1; 5,7960550
tsp01;2; 6;  8;1; 6,3273390
tsp01;2; 6; 16;1; 6,9960670
tsp01;2; 6; 19;1; 7,4112280
tsp01;2; 6; 18;1; 8,2621610
tsp01;2; 6; 14;1; 8,5781840
tsp01;2; 6; 12;1; 9,2281530
tsp01;2; 6;  2;1; 9,6613830
tsp01;2; 6; 13;1;10,1445100
tsp01;2; 6;  5;1;10,6116700
tsp01;2; 6; 17;1;11,2116600
tsp01;2; 6;  4;1;11,8951800
tsp01;2; 6;  0;1;12,4596900
tsp01;2; 6;  7;1;13,1440100
tsp01;2; 6; 15;1;13,7771700
tsp01;2; 7;  6;1; 1,4582710
tsp01;2; 7;  1;1; 1,8748660
tsp01;2; 7;  0;1; 2,2392460
tsp01;2; 7;  3;1; 3,2890850
tsp01;2; 7; 11;1; 4,2565540
tsp01;2; 7;  2;1; 4,9738880
tsp01;2; 7; 14;1; 5,4240760
tsp01;2; 7; 15;1; 5,8731690
tsp01;2; 7; 13;1; 6,3385890
tsp01;2; 7;  4;1; 7,1065060
tsp01;2; 7;  8;1; 8,1233980
tsp01;2; 7;  9;1; 8,5564440
tsp01;2; 7;  5;1; 9,1728990
tsp01;2; 7;  7;1; 9,9395290
tsp01;2; 7; 18;1;10,3396700
tsp01;2; 7; 10;1;11,4042500
tsp01;2; 7; 12;1;12,0226700
tsp01;2; 7; 17;1;12,8062900
tsp01;2; 7; 19;1;13,3052700
tsp01;2; 7; 16;1;14,0053300
